so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
tst1_cs|90050|145700|145000|6|2.2|2.2|0.1575|0|0
tst3_j|90050|145700|145000|2|1.7|1.1|0|0.000315|0
tst2_jd|90050|145700|145000|6|4.2|3.4|0|0.0001575|0
tst3_jd|90050|145700|145000|2|1.3|1.3|0|0.0001575|0
tst5_jd|90050|145700|145000|4|1.4|1.2|0|0.0001575|0
tst1_ag|90000|145700|145000|2|2.8|1.4|0|0.00003938|0.05
tst0_au|90000|145700|145000|6|2.8|2.6|0.0039375|0|0.05
tst5_au|90000|145700|145000|6|1.9|1.9|0.0039375|0|0.05
tst0_bu|90000|145700|145000|6|3|1.6|0|0.00007875|0.05
tst1_bu|90000|145700|145000|4|1.8|1.6|0|0.00007875|0.05
tst2_bu|90000|145700|145000|6|2|2|0|0.00007875|0.05
tst3_bu|90000|145700|145000|2|1.4|1.1|0|0.00007875|0.05
tst5_bu|90000|145700|145000|6|1.6|1.1|0|0.00007875|0.05
tst1_rb|90000|145700|145000|6|4.8|3.2|0|0.00023625|0.05
tst2_rb|90000|145700|145000|4|4.4|1.4|0|0.00023625|0.05
tst3_rb|90000|145700|145000|2|1.3|1|0|0.00023625|0.05
tst5_rb|90000|145700|145000|6|1.6|1.3|0|0.00023625|0.05
tst7_rb|90000|145700|145000|2|3.4|1.6|0|0.00023625|0.05
tst8_rb|90000|145700|145000|2|3.2|1.4|0|0.00023625|0.05
tst9_rb|90000|145700|145000|2|3.7|1.1|0|0.00023625|0.05
tst2_ru|90000|145700|145000|0|4.8|1|0|0.00003544|0.05
tst6_ru|90000|145700|145000|2|4.6|1|0|0.00003544|0.05
tst3_AP|90000|145700|145000|1|1.4|1.4|0.0525|0|0.5
tst5_AP|90000|145700|145000|1|1.8|1.3|0.0525|0|0.5
tst2_OI|90000|145700|145000|4|6|1.8|0.13125|0|0.5
tst2_RM|90000|145700|145000|2|2.8|1.8|0.23625|0|0.5
tst2_SF|90000|145700|145000|0|5.2|3.8|1.26|0|0.5
tst7_SF|90000|145700|145000|2|4.8|1.4|1.26|0|0.5
tst8_SF|90000|145700|145000|2|3.4|1.4|1.26|0|0.5
tst9_SF|90000|145700|145000|2|4.6|1.2|1.26|0|0.5
tst3_SM|90000|145700|145000|1|2.2|1.6|0.945|0|0.5
tst1_SR|90000|145700|145000|2|5.4|2.2|0.1575|0|0.5
tst2_SR|90000|145700|145000|0|4|2.6|0.1575|0|0.5
tst2_TA|90000|145700|145000|4|5.8|1|0.315|0|0.5
tst8_TA|90000|145700|145000|2|3.6|1.2|0.315|0|0.5
tst9_TA|90000|145700|145000|2|3.4|1.4|0.315|0|0.5
tst1_ZC|90000|145700|145000|4|5.8|1|0.084|0|0.5
