so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
tst0_i|210050|232700|232000|6|3.2|3|0|0.000126|0
tst1_i|210050|232700|232000|2|2.2|1.6|0|0.000126|0
tst3_jm|210050|232700|232000|2|2.3|1.3|0|0.000315|0
tst1_ag|210000|262700|262000|6|4.4|3|0|0.00003938|0.05
tst5_ag|210000|262700|262000|6|2.4|1.1|0|0.00003938|0.05
tst0_bu|210000|225700|225000|6|3.2|1.6|0|0.00007875|0.05
tst1_bu|210000|225700|225000|2|2.2|1.2|0|0.00007875|0.05
tst2_bu|210000|225700|225000|4|1.6|1.6|0|0.00007875|0.05
tst5_bu|210000|225700|225000|6|1.8|1|0|0.00007875|0.05
tst7_bu|210000|225700|225000|2|2|1|0|0.00007875|0.05
tst9_bu|210000|225700|225000|2|2|1|0|0.00007875|0.05
tst1_hc|210000|225700|225000|2|4.4|1|0|0.00023625|0.05
tst2_hc|210000|225700|225000|2|3.6|1|0|0.00023625|0.05
tst3_hc|210000|225700|225000|2|1.3|1|0|0.00023625|0.05
tst5_hc|210000|225700|225000|2|1.6|1|0|0.00023625|0.05
tst9_hc|210000|225700|225000|2|3|1.4|0|0.00023625|0.05
tst1_rb|210000|225700|225000|6|3.4|3.2|0|0.00023625|0.05
tst2_rb|210000|225700|225000|6|4.6|2.2|0|0.00023625|0.05
tst5_rb|210000|225700|225000|6|2.1|1.2|0|0.00023625|0.05
tst1_zn|210000|245700|245000|0|4.8|2|1.4175|0|0
tst2_zn|210000|245700|245000|0|3.8|1|1.4175|0|0
tst2_CF|210000|232700|232000|0|2.8|2.8|0.4515|0|0.5
tst3_MA|210000|232700|232000|1|1.9|1|0.63|0|0.5
tst0_SR|210000|232700|232000|0|5|2.8|0.1575|0|0.5
tst1_SR|210000|232700|232000|0|5|1.2|0.1575|0|0.5
tst2_SR|210000|232700|232000|0|4.6|1|0.1575|0|0.5
tst6_SR|210000|232700|232000|2|4.8|1.8|0.1575|0|0.5
tst7_SR|210000|232700|232000|2|4.6|1.2|0.1575|0|0.5
tst8_SR|210000|232700|232000|2|4.2|1.2|0.1575|0|0.5
tst9_SR|210000|232700|232000|2|4.6|1|0.1575|0|0.5
tst0_TA|210000|232700|232000|4|5.8|1.4|0.315|0|0.5
tst1_TA|210000|232700|232000|4|3|1.6|0.315|0|0.5
tst1_ZC|210000|232700|232000|4|6|1.2|0.084|0|0.5
tst2_ZC|210000|232700|232000|4|5.4|1.2|0.084|0|0.5
tst3_ZC|210000|232700|232000|1|1.1|1.1|0.084|0|0.5
tst9_ZC|210000|232700|232000|2|2.8|1|0.084|0|0.5
